instname,state,tuition,revenue,control,total_enrollment,all_employees
Taft College,California,5670,39157698,1,7031,299
Claremont School of Theology,California,,13166124,2,354,115
Thomas Aquinas College,California,22400,14640045,2,345,81
Trinity Life Bible College,California,8500,1938687,2,158,36
University of California System Administration Central Office,California,,1429628000,1,,2588
United Education Institute-Huntington Park Campus,California,,106330519,3,9540,572
Concorde Career College,California,,11715000,3,860,81
Concorde Career College,California,,10733000,3,650,84
Ventura College,California,6450,199311244,1,39430,1943
Victor Valley Beauty College Inc,California,,498519,3,158,17
Victor Valley College,California,4560,80931208,1,13470,803
Walden University,Minnesota,11314,391245883,3,40714,2831
Maxine Waters Employment Preparation Center,California,,7223006,1,1277,122
West Hills College-Coalinga,California,4824,35585880,1,2965,321
The University of West Los Angeles,California,,,2,285,54
West Valley College,California,5400,138599788,1,23847,1189
Western Career College-Sacramento,California,,108415821,3,6381,733
Westminster Theological Seminary in California,California,,5717130,2,137,45
Westmont College,California,32150,56744944,2,1308,392
Whittier College,California,33868,78248836,2,2093,441
Woodbury University,California,27635,34858556,2,1615,362
The Wright Institute,California,,7662079,2,417,82
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,California,10000,3445376,2,131,19
Yuba College,California,5700,49912876,1,8564,457
The Salon Professional Academy,Colorado,,1487003,3,88,16
Adams State College,Colorado,11856,45720431,1,3121,485
Aims Community College,Colorado,9264,63046844,1,5510,744
Arapahoe Community College,Colorado,9454,40321602,1,9969,634
Bel-Rea Institute of Animal Technology,Colorado,9094,6957349,3,776,45
Everest College-Colorado Springs,Colorado,12600,11305446,3,790,76
Boulder College of Massage Therapy,Colorado,14200,2517616,2,149,54
University of Colorado Denver,Colorado,18744,1247753221,1,23715,7666
University of Colorado at Colorado Springs,Colorado,15600,127280177,1,9733,965
Redstone College,Colorado,,14193070,3,666,92
University of Colorado at Boulder,Colorado,26700,1078212008,1,33010,9174
Colorado Christian University,Colorado,18990,35715193,2,2511,651
Colorado College,Colorado,37278,154666700,2,2032,675
Concorde Career Colleges,Colorado,,10843000,3,810,72
The Art Institute of Colorado,Colorado,24596,50932394,3,2320,266
Colorado Mountain College,Colorado,7050,96518701,1,5741,1640
Colorado Northwestern Community College,Colorado,4360,13096375,1,1375,179
Colorado School of Mines,Colorado,24750,171864498,1,5124,1445
Colorado School of Trades,Colorado,,2573783,3,148,20
Colorado State University,Colorado,20744,788431032,1,28902,9097
Colorado Technical University,Colorado,10440,31463771,3,2690,441
Empire Beauty School-Lakewood,Colorado,,5015941,3,373,33
Community College of Aurora,Colorado,11817,31373158,1,6293,514
College America-Denver,Colorado,19220,13243422,3,681,55
Delta Montrose Technical College,Colorado,,3639611,1,493,39
Denver Academy of Court Reporting,Colorado,8200,1365775,3,147,25
Community College of Denver,Colorado,9453,52463244,1,10918,631
Lincoln College of Technology,Colorado,,11866408,3,1225,82
Denver Seminary,Colorado,,10506716,2,925,88
Westwood College-Denver North,Colorado,13652,18863401,3,829,125
University of Denver,Colorado,34596,400695746,2,11644,3145
Emily Griffith Opportunity School,Colorado,9360,16948508,1,2230,440
Fort Lewis College,Colorado,16072,72090839,1,3770,622
Front Range Community College,Colorado,9454,99064004,1,18713,1435
Glenwood Beauty Academy,Colorado,,627211,3,22,10
Hair Dynamics Education Center,Colorado,,1999805,3,251,27
Iliff School of Theology,Colorado,,6607864,2,303,52
Internatonal Salon and Spa Academy,Colorado,,2289347,3,216,24
Lamar Community College,Colorado,2649,9972607,1,1080,131
Mesa State College,Colorado,4692,87167282,1,7042,692
Metropolitan State College of Denver,Colorado,12343,161820307,1,22837,1675
Morgan Community College,Colorado,9029,10693197,1,1918,228
Naropa University,Colorado,23420,18869967,2,1073,289
National American University-Colorado Springs,Colorado,11705,3365626,3,343,34
National American University-Denver,Colorado,11705,3835545,3,362,66
Nazarene Bible College,Colorado,9000,6738131,2,991,202
Northeastern Junior College,Colorado,7561,16834295,1,2497,206
University of Northern Colorado,Colorado,13344,175338331,1,12711,1978
Otero Junior College,Colorado,5450,22234318,1,1660,383
Everest College-Thornton,Colorado,13685,14933532,3,1021,96
Pikes Peak Community College,Colorado,9378,73182436,1,13572,963
Intellitec Medical Institute,Colorado,,3709540,3,324,53
Pueblo Community College,Colorado,9004,49165895,1,6592,327
Red Rocks Community College,Colorado,9454,48717150,1,9143,751
Regis University,Colorado,29400,154430563,2,10874,2708
Rocky Mountain College of Art and Design,Colorado,24840,16321803,3,586,152
Montessori Education Center of the Rockies,Colorado,,507880,2,58,2
San Juan Basin Technical College,Colorado,,,1,,
Colorado State University-Pueblo,Colorado,14124,68484683,1,6443,747
Pickens Technical College,Colorado,4020,4086540,1,1362,102
Intellitec College-Colorado Springs,Colorado,,7758282,3,503,49
Intellitec College-Grand Junction,Colorado,,9313692,3,729,87
Trinidad State Junior College,Colorado,4359,19379880,1,1812,240
University of Colorado System Office,Colorado,,170780433,1,,381
United States Air Force Academy,Colorado,0,760787147,1,4620,218
Western State College of Colorado,Colorado,12336,36489389,1,2237,308
Yeshiva Toras Chaim Talmudical Seminary,Colorado,7700,2077219,2,20,5
Albertus Magnus College,Connecticut,22656,28717241,2,2023,338
Paul Mitchell the School CT,Connecticut,,1226670,3,106,15
Asnuntuck Community College,Connecticut,8496,14902910,1,1808,197
Bais Binyomin Academy,Connecticut,5250,1636703,2,59,13
Branford Hall Career Institute-Branford Campus,Connecticut,,31072635,3,4440,417
Briarwood College,Connecticut,17740,8660927,3,779,208
Bridgeport Hospital School of Nursing,Connecticut,8619,,2,151,37
University of Bridgeport,Connecticut,23400,83512000,2,5103,952
Butler Business School Inc,Connecticut,,2789023,3,296,41
Central Connecticut State University,Connecticut,12112,181631957,1,12461,1694
Charter Oak State College,Connecticut,6360,9186626,1,2079,175
Connecticut Center for Massage Therapy-Newington,Connecticut,13350,2337932,3,273,83
Connecticut College,Connecticut,,117631211,2,1911,848
Brio Academy of Cosmetology,Connecticut,,1342965,3,197,16
Porter and Chester Institute of Branford,Connecticut,22204,7062741,3,441,38
University of Connecticut,Connecticut,23232,1735552169,1,29517,11364
Lincoln Technical Institute-East Windsor,Connecticut,,23349662,3,1365,155
Eastern Connecticut State University,Connecticut,12112,105259772,1,5610,972
Fairfield University,Connecticut,36900,184827000,2,5074,1048
Northhaven Academy,Connecticut,,3045452,3,225,33
Capital Community College,Connecticut,8496,33687731,1,4280,339
Rensselaer Hartford Graduate Center Inc,Connecticut,,23284000,2,750,114
Hartford School of Music,Connecticut,11840,,2,43,37
Fox Institute of Business,Connecticut,,8346597,3,912,89
Hartford Seminary,Connecticut,,6052211,2,172,65
University of Hartford,Connecticut,27750,176678295,2,7212,1713
Holy Apostles College and Seminary,Connecticut,9360,4212290,2,317,56
Housatonic Community College,Connecticut,8496,34456916,1,5609,470
Gibbs College-Farmington,Connecticut,12960,2672008,3,93,40
The Leon Institute of Hair Design,Connecticut,,237961,3,37,5
Lyme Academy College of Fine Arts,Connecticut,21792,3860062,2,97,47
Manchester Community College,Connecticut,8496,52438646,1,7366,675
Naugatuck Valley Community College,Connecticut,8496,51542444,1,6725,519
Middlesex Community College,Connecticut,8496,20330744,1,2914,251
Mitchell College,Connecticut,24035,23870531,2,961,241
Three Rivers Community College,Connecticut,8496,31365093,1,4561,329
Renasci Academy of Hair Inc,Connecticut,,,3,26,7
Lincoln Technical Institute,Connecticut,,26691013,3,1815,288
New England Tractor Trailer Training School of Connecticut,Connecticut,,6777907,3,393,69
University of New Haven,Connecticut,28250,130559509,2,5770,1026
Ridley Lowell Business and Technical Institute,Connecticut,,2635853,3,262,34
Norwalk Community College,Connecticut,8496,50586627,1,6685,591
Northwestern Connecticut Community College,Connecticut,8496,14661517,1,1711,190
Paier College of Art Inc,Connecticut,12600,1974573,3,227,59
Brio Academy of Cosmetology-Meriden,Connecticut,,4222364,3,438,57
Porter and Chester Institute,Connecticut,22204,51906732,3,2845,289
Post University,Connecticut,23250,35612242,3,2590,413
Quinebaug Valley Community College,Connecticut,8496,16601748,1,2110,206
Quinnipiac University,Connecticut,31100,265297027,2,7758,1448
Sacred Heart University,Connecticut,30090,144654385,2,6023,1137
St. Basil College,Connecticut,11700,,2,,1
Saint Joseph College,Connecticut,26502,42466000,2,1935,621
Gateway Community College,Connecticut,8496,44661721,1,6847,537
St Vincent's College,Connecticut,12090,7303084,2,531,79
Southern Connecticut State University,Connecticut,12112,176186627,1,11815,2016
Stone Academy,Connecticut,,43085800,3,3141,465
Tri-State College of Acupuncture,New York,,2850935,3,161,46
Trinity College,Connecticut,38900,156950717,2,2438,844
Tunxis Community College,Connecticut,8496,32716774,1,4496,419
United States Coast Guard Academy,Connecticut,0,134030870,1,973,246
Wesleyan University,Connecticut,39822,231400000,2,3148,1141
Western Connecticut State University,Connecticut,12112,102090086,1,6617,1030
Yale-New Haven Hospital Dietetic Internship,Connecticut,,24389,2,12,44
Yale University,Connecticut,36500,2912061896,2,11593,15368
Beebe Hospital School of Nursing,Delaware,4400,294816,2,53,16
Dawn Training Centre,Delaware,,3710888,3,200,61
Delaware Technical and Community College-Central Office,Delaware,,12264684,1,,57
Delaware Technical and Community College-Owens,Delaware,6180,44568506,1,4787,565
Delaware Technical and Community College-Terry,Delaware,6180,30610164,1,3406,398
Delaware Technical and Community College-Stanton-Wilmington,Delaware,6180,64197594,1,7488,819
Delaware State University,Delaware,12962,99612961,1,3609,836
University of Delaware,Delaware,22240,841784457,1,21138,5702
Goldey-Beacom College,Delaware,17580,25946674,2,1226,159
Schilling-Douglas School of Hair Design,Delaware,,1673022,3,128,15
Wesley College,Delaware,18950,38719641,2,2426,280
Wilmington University,Delaware,9030,74725609,2,9650,1168
American University,District of Columbia,34456,553545000,2,12241,3634
Catholic University of America,District of Columbia,31740,267707109,2,6768,2161
Corcoran College of Art and Design,District of Columbia,27960,26908580,2,921,77
University of the District of Columbia,District of Columbia,11680,150459694,1,5253,987
Dominican House of Studies,District of Columbia,,4111645,2,96,40
Gallaudet University,District of Columbia,10850,145237032,2,1488,1028
George Washington University,District of Columbia,39962,1122891000,2,25061,6762
Georgetown University,District of Columbia,38616,1059862000,2,16520,6413
Howard University,District of Columbia,15270,874836000,2,10573,3869
Dudley Beauty College,District of Columbia,,750408,3,68,14
Sanz School,Virginia,,12411019,3,1658,105
Strayer University,District of Columbia,12915,24010129,3,54325,4164
National Conservatory of Dramatic Arts,District of Columbia,7800,395588,2,31,21
Trinity Washington University,District of Columbia,19360,30557082,2,2024,337
Wesley Theological Seminary,District of Columbia,,14900297,2,650,83
Wyotech-Daytona,Florida,,14357355,3,765,79
The Art Institute of Fort Lauderdale Inc,Florida,21375,60380722,3,3217,320
Atlantic Technical Center,Florida,,25282730,1,1226,303
The Baptist College of Florida,Florida,8100,8182574,2,589,169
Barry University,Florida,26400,158217648,2,8846,1986
Gooding Institute of Nurse Anesthesia,Florida,,737229,1,51,3
Bethune-Cookman University,Florida,12936,69154932,2,3637,468
Lynn University,Florida,28600,62883933,2,2224,616
Bradenton Beauty and Barber Academy,Florida,,991960,3,181,22
Bradford-Union Area Career Technical Center,Florida,,1752189,1,177,55
Brevard Community College,Florida,8105,81854932,1,17853,1972
Broward College,Florida,6210,204398086,1,37360,3097
Central Florida College,Florida,,6833000,3,575,63
Carlos Albizu University-Miami Campus,Florida,10980,15735400,2,1081,195
Central Florida Community College,Florida,6416,48825703,1,8289,1078
Florida Christian College Inc,Florida,7800,4506280,2,272,55
University of Central Florida,Florida,17652,749281328,1,53401,6278
Charlotte Technical Center,Florida,11568,6052967,1,461,61
Chipola College,Florida,6792,16693168,1,2341,336
Clearwater Christian College,Florida,14710,11059357,2,574,126
Lorenzo Walker Institute of Technology,Florida,,6818504,1,486,129
