instname,state,tuition,revenue,control,total_enrollment,all_employees,LONGITUD,LATITUDE
Fuller Theological Seminary in California,California,,49898575,2513,498,-118.13974,34.147201,
Galen College of Medical and Dental Assistants,California,,8565126.003,346,,-119.801065,36.760139,
Gavilan College,California,0,20685653,3317,410,-121.563359,36.968352,
Gemological Institute of America,California,,72473000,13204,,-117.317511,33.131547,
Glendale Community College,California,3144,60865478,13172,932,-118.229868,34.167223,
Glendale Career Schools,California,,17829328,1200,,-118.281833,34.163511,
Golden Gate University-San Francisco,California,9666,74932696,5379,1549,-122.398429,37.789168,
Graduate Theological Union,California,,9507008.002,303,68,-122.262448,37.876176,
Hair Masters University,California,,292194.003,62,,-117.287561,34.135954,
Hartnell College,California,3990,31361369,7459,547,-121.665278,36.675439,
Harvey Mudd College,California,21584,34745644,709,217,-117.712028,34.105473,
Heald College-San Francisco,California,7200,172136176,9124,906,-122.396406,37.790686,
Hilltop Beauty School,California,,486616.003,153,,-122.461606,37.705549,
Holy Names University,California,14300,11664975,934,195,-122.187806,37.801876,
Pacifica Graduate Institute,California,,9415462.003,843,73,-119.57963,34.421207,
Humboldt State University,California,7380,115987426,7545,1299,-124.081592,40.874103,
Humphreys College-Stockton,California,6804,4065689.002,,129,-121.316889,38.010697,
Imperial Valley College,California,3264,25713908,4839,219,-115.50268,32.825884,
Institute for Business and Technology,California,,2392536.003,251,,-121.969243,37.369473,
Institute of Computer Technology,California,7950,3105337.143,236,39,-118.29203,34.061788,
Interior Designers Institute,California,8980,2280937.003,463,25,-117.865553,33.641543,
International School of Cosmetology,California,,402175.003,61,,-118.494684,34.017509,
ITT Technical Institute,California,8073,10597527,873,63,-117.11928,32.806768,
ITT Technical Institute,California,8073,10092980,834,57,-117.81881,34.103049,
ITT Technical Institute,California,8073,8589367.003,762,50,-117.895677,33.780231,
J Boutique College of Beauty,California,,1275995.003,204,,-116.945617,32.794837,
John F Kennedy University,California,8172,15533744,,,-122.054872,37.956923,
University of Judaism,California,14500,17558983,209,182,-118.471715,34.129284,
